year,party,intervention,type,count
1943,New Democracy,25,oil,0
1997,Bloc Québécois,3112,oil,57
1951,Co-operative Commonwealth Federation (C.C.F.),5295,oil,90
1957,Co-operative Commonwealth Federation (C.C.F.),6123,oil,155
1949,Liberal Progressive,16,oil,0
1969,Ralliement Créditiste,2139,oil,48
1949,Independent,158,oil,4
1993,Reform,22,oil,0
1958,Social Credit,409,oil,23
1911,Liberal-Conservative,329,oil,1
1926,Independent Conservative,139,oil,2
1967,New Democratic Party,5583,oil,99
1913,Labour,15,oil,1
1966,Independent Progressive Conservative,352,oil,3
1910,Independent Liberal,9,oil,0
1972,Progressive Conservative,6878,oil,152
2014,Bloc Québécois,136,oil,14
1995,Liberal,11845,oil,122
2015,Bloc Québécois,91,oil,6
2006,Independent,20,oil,0
1919,United Farmers,1,oil,0
1945,Independent Progressive Conservative,9,oil,0
1920,Progressive,314,oil,3
1905,Liberal-Conservative,1660,oil,21
1946,Independent Progressive Conservative,15,oil,1
1941,National Government,7462,oil,75
2012,Green,700,oil,44
1904,Conservative (1867-1942),14147,oil,172
1967,Independent,866,oil,12
1920,United Farmers of Ontario-Labour,15,oil,1
1947,Social Credit,2102,oil,26
1972,Liberal,9171,oil,175
1995,Progressive Conservative,127,oil,2
1962,Independent Liberal,3,oil,0
1908,Liberal-Conservative,858,oil,8
2009,Independent,24,oil,1
1919,Conservative (1867-1942),266,oil,3
1946,Progressive Conservative,10692,petrol,3
1948,Liberal,16392,petrol,19
1973,Progressive Conservative,19871,petrol,242
1975,Progressive Conservative,16532,petrol,250
1975,Liberal,23973,petrol,190
1976,Progressive Conservative,14901,petrol,54
1976,Liberal,20417,petrol,53
1976,Social Credit,1102,petrol,2
1976,New Democratic Party,4322,petrol,39
1977,Progressive Conservative,16764,petrol,38
1977,Social Credit,991,petrol,4
1978,Progressive Conservative,13109,petrol,87
1980,Progressive Conservative,10571,petrol,165
1981,Progressive Conservative,15279,petrol,279
1982,Liberal,20631,petrol,163
1985,Progressive Conservative,25634,petrol,119
1988,Liberal,8938,petrol,18
1989,New Democratic Party,4484,petrol,16
1990,New Democratic Party,6022,petrol,17
1991,Progressive Conservative,13572,petrol,17
1994,Reform,5958,petrol,14
1997,Liberal,8061,petrol,17
1997,Reform,4463,petrol,6
1997,New Democratic Party,1166,petrol,2
1999,Reform,6223,petrol,5
2000,Canadian Alliance,75,petrol,0
2000,New Democratic Party,1897,petrol,8
2001,New Democratic Party,2157,petrol,3
2001,Liberal,11369,petrol,11
2001,Canadian Alliance,6220,petrol,10
2001,Progressive Conservative,1827,petrol,6
2002,Bloc Québécois,3337,petrol,9
2002,Canadian Alliance,6377,petrol,15
2002,Liberal,11121,petrol,22
2002,New Democratic Party,1889,petrol,2
2002,Progressive Conservative,1748,petrol,1
2003,Liberal,10019,petrol,11
2003,Bloc Québécois,2916,petrol,6
2004,Liberal,9444,petrol,16
2004,Bloc Québécois,2842,petrol,33
2005,Liberal,10752,petrol,26
2005,Bloc Québécois,3392,petrol,31
2005,Conservative,8071,petrol,15
2005,New Democratic Party,2195,petrol,5
2006,Liberal,7524,petrol,12
2006,Bloc Québécois,3093,petrol,27
2006,Conservative,10677,petrol,15
2006,New Democratic Party,3921,petrol,7
2007,Liberal,8717,petrol,10
2007,Bloc Québécois,3502,petrol,29
2007,New Democratic Party,4841,petrol,19
2007,Conservative,12362,petrol,16
2008,New Democratic Party,3497,petrol,12
2008,Liberal,6953,petrol,10
2008,Bloc Québécois,2780,petrol,25
2008,Conservative,10054,petrol,17
2009,New Democratic Party,6650,petrol,8
2009,Liberal,9156,petrol,30
2009,Bloc Québécois,4434,petrol,7
2009,Conservative,13468,petrol,9
2010,New Democratic Party,6075,petrol,38
2010,Liberal,8176,petrol,20
2010,Conservative,12269,petrol,30
2010,Bloc Québécois,3872,petrol,21
2011,Conservative,12737,petrol,13
2011,New Democratic Party,9010,petrol,13
2011,Liberal,5257,petrol,2
2012,Liberal,5344,petrol,4
2013,Conservative,14842,petrol,56
2013,New Democratic Party,11652,petrol,48
2014,New Democratic Party,13401,petrol,38
2014,Liberal,4914,petrol,13
2014,Conservative,16871,petrol,36
2015,New Democratic Party,7224,petrol,13
2016,Liberal,9467,petrol,3
2016,Conservative,6230,petrol,13
1991,Liberal,7334,petrol,19
1942,National Government,8689,petrol,24
1925,United Farmers of Ontario,10,petrol,0
1984,New Democratic Party,5591,petrol,59
1929,United Farmers of Ontario,3,petrol,0
1928,United Farmers of Ontario,1,petrol,0
1937,Conservative (1867-1942),6105,petrol,1
1992,Liberal,7137,petrol,21
1989,Progressive Conservative,13450,petrol,25
1945,Bloc populaire canadien,28,petrol,0
1988,Independent,14,petrol,1
2014,Green,614,petrol,3
1939,Liberal,16036,petrol,4
1929,Conservative (1867-1942),10222,petrol,1
1928,Conservative (1867-1942),10994,petrol,4
1911,Independent Conservative,137,petrol,0
1967,Social Credit,803,petrol,2
1946,Bloc populaire canadien,59,petrol,0
1937,Co-operative Commonwealth Federation (C.C.F.),1642,petrol,3
1924,Liberal,16197,petrol,10
1947,Liberal Progressive,2,petrol,0
1959,Liberal Labour,830,petrol,0
1947,Independent,247,petrol,1
1925,Conservative (1867-1942),12052,petrol,9
1988,New Democratic Party,8998,petrol,25
1992,Progressive Conservative,13930,petrol,29
1989,Liberal,7687,petrol,19
1930,Independent Liberal,2,petrol,0
2015,Green,386,petrol,4
2012,Bloc Québécois,302,petrol,1
1936,Conservative (1867-1942),9485,petrol,6
1943,Bloc populaire canadien,50,petrol,0
1908,Independent Conservative,81,petrol,0
1963,Liberal Labour,79,petrol,0
1936,Co-operative Commonwealth Federation (C.C.F.),2169,petrol,2
1961,New Democratic Party,480,petrol,0
1920,Independent,40,petrol,0
1949,Social Credit,1382,petrol,5
1903,Independent Labour,141,petrol,0
1958,Independent,9,petrol,0
1905,Independent Conservative,546,petrol,0
2003,Progressive Conservative,1541,petrol,0
1984,Independent,80,petrol,0
1901,Conservative (1867-1942),8850,petrol,0
2004,Independent,22,petrol,0
1978,Independent,166,petrol,0
1911,Independent Liberal,10,petrol,0
1915,Liberal,8802,petrol,2
1971,Liberal Labour,47,petrol,0
1945,Labour Progressive,70,petrol,0
1921,Liberal,1187,petrol,0
1936,Liberal Progressive,114,petrol,0
1920,United Farmers,188,petrol,0
1951,Social Credit,1982,petrol,0
1936,Independent,270,petrol,0
1919,Progressive,194,petrol,0
1957,Social Credit,1964,petrol,2
1958,Co-operative Commonwealth Federation (C.C.F.),4678,petrol,6
1952,Independent Liberal,22,petrol,0
2007,Independent,79,petrol,0
1968,Liberal Labour,9,petrol,0
1965,Liberal Labour,27,petrol,0
2016,Green Party,213,petrol,2
1920,Conservative (1867-1942),1374,petrol,0
1910,Liberal-Conservative,758,petrol,0
2015,Independent,256,petrol,1
1993,Progressive Conservative,8772,petrol,19
1923,Independent Progressive,336,petrol,0
1912,Liberal,4892,petrol,1
1960,New Party,28,petrol,0
1956,Independent Liberal,4,petrol,0
1944,Liberal,20404,petrol,25
1901,Independent,358,petrol,0
1964,Progressive Conservative,19874,petrol,18
1969,Independent,4766,petrol,0
1936,Reconstruction,419,petrol,0
1947,Co-operative Commonwealth Federation (C.C.F.),6101,petrol,9
1993,Liberal,4577,petrol,14
1955,Independent Liberal,6,petrol,0
1964,Liberal,24849,petrol,10
1945,Independent C.C.F.,37,petrol,0
2014,Independent,179,petrol,0
1916,Liberal-Conservative,365,petrol,0
1969,New Democratic Party,6830,petrol,13
1953,Liberal Labour,89,petrol,0
2002,Independent,5,petrol,0
1944,Progressive Conservative,2102,petrol,3
1946,Independent C.C.F.,93,petrol,0
1937,Independent,196,petrol,0
1954,Liberal Labour,410,petrol,1
1937,Liberal Progressive,162,petrol,0
1929,Independent,296,petrol,0
1928,Independent,235,petrol,0
1929,Liberal Progressive,836,petrol,1
1928,Liberal Progressive,517,petrol,1
1930,Independent Conservative,2,petrol,0
1978,New Democratic Party,3761,petrol,34
2004,New Democratic Party,1872,petrol,1
1929,Labour,1247,petrol,0
1928,Labour,958,petrol,0
1997,Independent,66,petrol,0
1921,Laurier Liberal,9363,petrol,11
1902,Independent Labour,54,petrol,0
1909,Independent Conservative,109,petrol,0
1995,Reform,6324,petrol,24
1979,Independent Liberal,3,petrol,0
1937,Reconstruction,159,petrol,0
1967,Ralliement Créditiste,1094,petrol,0
1950,Independent Liberal,6,petrol,0
1925,Labour,989,petrol,0
1908,Independent Liberal,23,petrol,0
1961,Co-operative Commonwealth Federation (C.C.F.),5073,petrol,9
1923,Independent Conservative,199,petrol,0
1925,Independent,65,petrol,0
1996,Independent,30,petrol,0
1956,Liberal,19945,petrol,27
1944,Independent Liberal,120,petrol,0
1931,Liberal,11996,petrol,5
1940,Social Credit,927,petrol,2
1919,Unionist (Liberal),1953,petrol,0
1985,Liberal,11875,petrol,78
1932,Progressive Conservative,16,petrol,0
1963,New Democratic Party,4496,petrol,7
1961,Liberal Labour,1470,petrol,2
1991,Independent Conservative,91,petrol,0
1955,Progressive Conservative,9927,petrol,14
1942,Co-operative Commonwealth Federation (C.C.F.),2544,petrol,1
1999,Bloc Québécois,3332,petrol,3
1942,Conservative (1867-1942),883,petrol,1
1902,Conservative (1867-1942),7519,petrol,5
1979,Progressive Conservative,8493,petrol,90
1960,Liberal,17853,petrol,10
1952,Liberal,13569,petrol,18
1950,Progressive Conservative,9279,petrol,20
2001,Bloc Québécois,3397,petrol,13
1939,Independent Conservative,20,petrol,0
1911,Liberal,11072,petrol,3
1924,Independent Conservative,242,petrol,0
1977,New Democratic Party,5535,petrol,34
1953,Co-operative Commonwealth Federation (C.C.F.),3388,petrol,2
1992,Independent Conservative,106,petrol,0
1954,Co-operative Commonwealth Federation (C.C.F.),5265,petrol,3
1960,Progressive Conservative,27096,petrol,33
1979,Liberal,10434,petrol,100
1940,United Farmers of Ontario-Labour,5,petrol,0
1950,Liberal,13372,petrol,25
1908,Liberal,16701,petrol,7
1952,Progressive Conservative,8714,petrol,16
1968,Co-operative Commonwealth Federation (C.C.F.),97,petrol,0
1965,Co-operative Commonwealth Federation (C.C.F.),221,petrol,1
2000,Reform,4041,petrol,5
1977,Independent,139,petrol,0
1964,Independent Liberal,19,petrol,0
1944,New Democracy,67,petrol,0
1924,Independent Progressive,205,petrol,0
1931,Progressive Conservative,15,petrol,0
1903,Independent,315,petrol,0
1996,New Democratic Party,526,petrol,1
1956,Progressive Conservative,13360,petrol,22
1905,Liberal,16036,petrol,6
2011,Green,222,petrol,0
1990,Reform,41,petrol,0
1955,Liberal,14703,petrol,15
1958,Liberal Labour,832,petrol,2
1932,Liberal,11193,petrol,11
1963,Co-operative Commonwealth Federation (C.C.F.),176,petrol,0
2011,Independent,23,petrol,0
1975,Social Credit,1353,petrol,8
1938,Social Credit,1480,petrol,2
1934,Progressive Conservative,29,petrol,0
1974,New Democratic Party,3207,petrol,86
1994,Bloc Québécois,5651,petrol,13
1971,Independent,6105,petrol,1
1915,Independent Conservative,90,petrol,0
1903,Conservative (1867-1942),24055,petrol,3
1933,Progressive Conservative,10,petrol,0
1973,Liberal,19871,petrol,114
1929,United Farmers of Alberta,1763,petrol,1
1928,United Farmers of Alberta,2009,petrol,2
1969,Liberal Labour,50,petrol,0
1901,Independent Labour,84,petrol,0
1974,No affiliation,1663,petrol,4
1925,United Farmers of Alberta,260,petrol,0
1912,Independent Conservative,80,petrol,0
1998,Independent,152,petrol,0
1968,Independent,2036,petrol,0
1965,Independent,15,petrol,0
1918,Laurier Liberal,5344,petrol,3
1942,Unity,31,petrol,0
1933,Liberal,11164,petrol,0
1953,Independent,116,petrol,0
1953,Liberal Progressive,34,petrol,0
1917,Liberal-Conservative,413,petrol,0
1954,Independent,54,petrol,0
2013,Bloc Québécois,281,petrol,1
1954,Liberal Progressive,30,petrol,0
1941,Social Credit,1072,petrol,1
1998,New Democratic Party,2226,petrol,5
1968,New Democratic Party,3885,petrol,8
1965,New Democratic Party,3279,petrol,0
1959,Co-operative Commonwealth Federation (C.C.F.),4200,petrol,9
1993,Independent Conservative,55,petrol,0
1938,United Farmers of Ontario-Labour,59,petrol,0
1918,Liberal,204,petrol,0
1923,Liberal,15683,petrol,9
1909,Liberal,16237,petrol,2
1942,Independent,307,petrol,4
1902,Independent,79,petrol,0
1942,Liberal Progressive,31,petrol,0
1971,New Democratic Party,8053,petrol,25
1980,Liberal,15687,petrol,184
1934,Liberal,12712,petrol,2
1974,Independent,29,petrol,0
1948,Social Credit,1300,petrol,1
1930,Liberal,9108,petrol,0
1938,Independent Liberal,1,petrol,0
1903,Liberal-Conservative,2705,petrol,0
1939,Social Credit,2744,petrol,6
2003,Canadian Alliance,5609,petrol,2
1967,Liberal,21772,petrol,12
1922,United Farmers of Ontario,35,petrol,0
1972,Independent,3230,petrol,0
1995,New Democratic Party,718,petrol,0
1976,Independent,66,petrol,0
1927,United Farmers of Ontario,7,petrol,0
1927,Conservative (1867-1942),6117,petrol,3
1918,Unionist (Liberal),796,petrol,1
1964,Ralliement Créditiste,3895,petrol,1
1949,Progressive Conservative,10122,petrol,12
1926,United Farmers of Alberta,48,petrol,0
1922,Conservative (1867-1942),5507,petrol,1
1940,Independent Conservative,69,petrol,1
1941,New Democracy,12,petrol,0
2012,Conservative,18796,petrol,16
1949,Liberal,14968,petrol,21
1939,United Farmers of Ontario-Labour,83,petrol,0
1924,Progressive,6267,petrol,7
1920,Unionist,11024,petrol,6
1914,Independent Conservative,164,petrol,0
1941,Independent Liberal,17,petrol,0
1967,Progressive Conservative,12767,petrol,19
1917,Conservative (1867-1942),17658,petrol,5
1993,Bloc Québécois,191,petrol,0
1913,Liberal,6571,petrol,3
1948,Independent Liberal,860,petrol,1
1972,New Democratic Party,3730,petrol,13
1995,Independent,26,petrol,0
1943,National Government,7935,petrol,9
1962,Liberal Labour,466,petrol,0
1902,Liberal-Conservative,854,petrol,0
1992,Bloc Québécois,594,petrol,0
1944,Social Credit,1887,petrol,3
1919,Laurier Liberal,12775,petrol,3
1940,Independent Liberal,17,petrol,0
1991,Bloc Québécois,437,petrol,0
1982,New Democratic Party,6076,petrol,135
1938,Independent Conservative,17,petrol,1
1917,Labour,90,petrol,0
1951,Liberal,19636,petrol,23
1957,Liberal,12217,petrol,10
1935,United Farmers of Alberta,1078,petrol,0
1982,Independent,86,petrol,3
1948,Independent Progressive Conservative,11,petrol,0
1904,Liberal,16664,petrol,8
1951,Progressive Conservative,12737,petrol,7
1957,Progressive Conservative,11605,petrol,11
1927,Labour,639,petrol,0
1921,United Farmers of Ontario-Labour,18,petrol,0
1927,Liberal Progressive,600,petrol,0
1927,Independent,292,petrol,0
1921,Progressive,568,petrol,0
1964,Social Credit,1486,petrol,3
1935,Independent Labour,166,petrol,0
1941,Independent Conservative,73,petrol,0
1919,Liberal,625,petrol,0
1922,Labour,285,petrol,0
1945,National Government,1072,petrol,0
1940,New Democracy,22,petrol,0
1922,Independent,25,petrol,0
1981,Liberal,20208,petrol,146
1970,Liberal Labour,27,petrol,0
1972,Liberal Labour,12,petrol,0
1951,Independent Liberal,18,petrol,0
1957,Independent Liberal,29,petrol,0
1910,Conservative (1867-1942),12136,petrol,4
1952,Social Credit,1318,petrol,5
1947,Bloc populaire canadien,117,petrol,0
1946,Independent,116,petrol,0
1946,Liberal Progressive,6,petrol,0
1967,Independent Progressive Conservative,194,petrol,0
1932,Progressive,166,petrol,0
1911,Nationalist,3,petrol,0
1966,New Democratic Party,6768,petrol,5
1945,Independent,96,petrol,0
1945,Liberal Progressive,3,petrol,0
1983,Progressive Conservative,15306,petrol,98
1956,Social Credit,2241,petrol,8
1940,Liberal,8948,petrol,16
1945,Unity,9,petrol,0
1998,Reform,6077,petrol,9
1994,Liberal,12627,petrol,28
1935,Conservative (1867-1942),12317,petrol,0
1987,New Democratic Party,10934,petrol,87
1940,Progressive Conservative,15,petrol,0
1983,Liberal,21690,petrol,49
1943,Unity,44,petrol,1
1914,Liberal,15471,petrol,13
1987,Independent,5,petrol,0
1955,Social Credit,1943,petrol,4
1994,Progressive Conservative,104,petrol,1
1949,Independent Progressive Conservative,5,petrol,0
2013,Liberal,4088,petrol,17
1943,Liberal Progressive,55,petrol,0
1979,Social Credit,494,petrol,2
1943,Independent,282,petrol,0
1950,Social Credit,1016,petrol,1
1931,Progressive,164,petrol,0
1962,Co-operative Commonwealth Federation (C.C.F.),67,petrol,0
1926,Labour,824,petrol,1
1921,Unionist (Liberal),1621,petrol,0
1916,Conservative (1867-1942),9710,petrol,11
1966,Independent,473,petrol,0
1913,Independent Conservative,111,petrol,0
1904,Independent Liberal,1,petrol,0
1926,Liberal Progressive,2,petrol,0
1926,Independent,344,petrol,0
1923,Progressive,4510,petrol,2
1966,Co-operative Commonwealth Federation (C.C.F.),435,petrol,1
1941,Progressive Conservative,100,petrol,0
1970,New Democratic Party,7170,petrol,16
1973,Social Credit,2516,petrol,16
1999,Liberal,10520,petrol,14
1996,Reform,5046,petrol,8
1943,Co-operative Commonwealth Federation (C.C.F.),3416,petrol,13
1930,Progressive,416,petrol,1
1934,Progressive,101,petrol,0
1927,United Farmers of Alberta,1562,petrol,1
1986,New Democratic Party,9596,petrol,119
1933,Progressive,63,petrol,0
1957,Independent Progressive Conservative,122,petrol,0
1938,Liberal,15788,petrol,12
1926,Conservative (1867-1942),14282,petrol,13
1916,Labour,37,petrol,0
1948,Progressive Conservative,11748,petrol,11
1922,United Farmers of Alberta,54,petrol,0
1918,Progressive,14,petrol,0
1967,Independent Liberal,2,petrol,0
1910,Independent,37,petrol,0
1910,Labour,30,petrol,0
1986,Independent,5,petrol,0
1945,Conservative (1867-1942),4,petrol,0
2000,Independent,25,petrol,0
1901,Liberal-Conservative,711,petrol,0
2016,Bloc Québécois,344,petrol,2
1904,Independent Conservative,352,petrol,0
1946,Co-operative Commonwealth Federation (C.C.F.),5318,petrol,5
1999,Progressive Conservative,1776,petrol,7
1970,Independent,4974,petrol,0
1945,Co-operative Commonwealth Federation (C.C.F.),3168,petrol,1
1941,Liberal,11706,petrol,9
1935,Liberal Progressive,124,petrol,0
1935,Independent,394,petrol,0
1949,Independent Liberal,148,petrol,0
1990,Independent,333,petrol,0
1935,Labour,1070,petrol,0
1962,New Democratic Party,4146,petrol,10
1947,Independent C.C.F.,141,petrol,0
